x_tokens,y_tokens
"['judging', 'from', 'what', 'you', 'say', 'he', 'must', 'be', 'a', 'great', 'scholar']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['it', 'is', 'never', 'too', 'late', 'to', 'learn']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['vous', 'devez', 'terminer', 'le', 'travail', 'avant', ""l'échéance""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['what', 'would', 'you', 'do', 'in', 'my', 'place']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['il', 'y', 'a', 'beaucoup', ""d'argent""]","['FR', 'FR', 'FR', 'FR', 'FR']"
"['we', 'looked', 'out', 'the', 'window', 'but', 'saw', 'nothing']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['après', 'quelques', 'verres', 'le', 'type', ""n'avait"", 'plus', 'mal']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['ça', 'fait', 'quinze', 'ans', 'que', 'je', 'suis', 'professeur']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['according', 'to', 'the', 'x-ray', 'everything', 'is', 'all', 'right']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['i', ""didn't"", 'think', 'you', 'were', 'going', 'to', 'make', 'it']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['une', 'corde', 'a', 'été', 'jetée', 'à', ""l'eau""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', ""haven't"", 'washed', 'your', 'hands', 'yet', 'have', 'you']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['salut', 'john', 'comment', 'vas-tu']","['FR', 'FR', 'FR', 'FR']"
